state,date,unemployment
Alabama,1985-02-01,10.6
Alabama,1985-03-01,9.9
Alabama,1985-04-01,9.2
Alabama,1985-05-01,9
Alabama,1985-06-01,10.1
Alabama,1985-07-01,9.6
Alabama,1985-08-01,9.4
Alabama,1985-09-01,9.1
Alabama,1985-10-01,9.1
Alabama,1985-11-01,8.9
Alabama,1985-12-01,9
Alabama,1986-01-01,9.6
Alabama,1986-02-01,10.3
Alabama,1986-03-01,9.8
Alabama,1986-04-01,9.3
Alabama,1986-05-01,9.2
Alabama,1986-06-01,10.3
Alabama,1986-07-01,9.6
Alabama,1986-08-01,9.6
Alabama,1986-09-01,9.5
Alabama,1986-10-01,9.4
Alabama,1986-11-01,9.3
Alabama,1986-12-01,8.8
Alabama,1987-01-01,9.8
Alabama,1987-02-01,9.7
Alabama,1987-03-01,8.8
Alabama,1987-04-01,7.9
Alabama,1987-05-01,7.8
Alabama,1987-06-01,8.4
Alabama,1987-07-01,8
Alabama,1987-08-01,8
Alabama,1987-09-01,7.6
Alabama,1987-10-01,7.6
Alabama,1987-11-01,7.4
Alabama,1987-12-01,7.2
Alabama,1988-01-01,7.9
Alabama,1988-02-01,8
Alabama,1988-03-01,7.2
Alabama,1988-04-01,6.7
Alabama,1988-05-01,6.8
Alabama,1988-06-01,7.6
Alabama,1988-07-01,7.3
Alabama,1988-08-01,7.5
Alabama,1988-09-01,7.2
Alabama,1988-10-01,7
Alabama,1988-11-01,7.2
Alabama,1988-12-01,7
Alabama,1989-01-01,7.9
Alabama,1989-02-01,7.5
Alabama,1989-03-01,6.8
Alabama,1989-04-01,6.7
Alabama,1989-05-01,6.6
Alabama,1989-06-01,7.7
Alabama,1989-07-01,7.2
Alabama,1989-08-01,7.1
Alabama,1989-09-01,6.8
Alabama,1989-10-01,6.6
Alabama,1989-11-01,6.6
Alabama,1989-12-01,6.4
Alabama,1990-01-01,7.1
Alabama,1990-02-01,7.4
Alabama,1990-03-01,6.7
Alabama,1990-04-01,6.3
Alabama,1990-05-01,6.2
Alabama,1990-06-01,7
Alabama,1990-07-01,6.9
Alabama,1990-08-01,7.1
Alabama,1990-09-01,6.9
Alabama,1990-10-01,6.7
Alabama,1990-11-01,6.7
Alabama,1990-12-01,6.8
Alabama,1991-01-01,7.6
Alabama,1991-02-01,8
Alabama,1991-03-01,7.4
Alabama,1991-04-01,6.7
Alabama,1991-05-01,7
Alabama,1991-06-01,8
Alabama,1991-07-01,7.5
Alabama,1991-08-01,7.5
Alabama,1991-09-01,7
Alabama,1991-10-01,6.9
Alabama,1991-11-01,7
Alabama,1991-12-01,7.2
Alabama,1992-01-01,8
Alabama,1992-02-01,8.3
Alabama,1992-03-01,7.6
Alabama,1992-04-01,7
Alabama,1992-05-01,7.1
Alabama,1992-06-01,8.3
Alabama,1992-07-01,7.9
Alabama,1992-08-01,7.7
Alabama,1992-09-01,7.2
Alabama,1992-10-01,7
Alabama,1992-11-01,7.1
Alabama,1992-12-01,7.1
Alabama,1993-01-01,8.1
Alabama,1993-02-01,8.1
Alabama,1993-03-01,7.4
Alabama,1993-04-01,6.9
Alabama,1993-05-01,6.9
Alabama,1993-06-01,7.9
Alabama,1993-07-01,7.7
Alabama,1993-08-01,7.3
Alabama,1993-09-01,6.8
Alabama,1993-10-01,6.7
Alabama,1993-11-01,6.5
Alabama,1993-12-01,6.3
Alabama,1994-01-01,7.4
Alabama,1994-02-01,7.1
Alabama,1994-03-01,6.5
Alabama,1994-04-01,5.8
Alabama,1994-05-01,5.6
Alabama,1994-06-01,6.6
Alabama,1994-07-01,6.4
Alabama,1994-08-01,6.3
Alabama,1994-09-01,5.8
Alabama,1994-10-01,5.7
Alabama,1994-11-01,5.6
Alabama,1994-12-01,5.4
Alabama,1995-01-01,6.5
Alabama,1995-02-01,6.2
Alabama,1995-03-01,5.8
Alabama,1995-04-01,5.6
Alabama,1995-05-01,5.6
Alabama,1995-06-01,6.5
Alabama,1995-07-01,6.2
Alabama,1995-08-01,6.1
Alabama,1995-09-01,5.8
Alabama,1995-10-01,5.5
Alabama,1995-11-01,5.3
Alabama,1995-12-01,5.2
Alabama,1996-01-01,5.8
Alabama,1996-02-01,5.8
Alabama,1996-03-01,5.4
Alabama,1996-04-01,4.9
Alabama,1996-05-01,5
Alabama,1996-06-01,5.6
Alabama,1996-07-01,5.5
Alabama,1996-08-01,5.1
Alabama,1996-09-01,5
Alabama,1996-10-01,4.9
Alabama,1996-11-01,4.9
Alabama,1996-12-01,4.7
Alabama,1997-01-01,5.6
Alabama,1997-02-01,5.5
Alabama,1997-03-01,5.1
Alabama,1997-04-01,4.6
Alabama,1997-05-01,4.5
Alabama,1997-06-01,5.5
Alabama,1997-07-01,5.2
Alabama,1997-08-01,5.2
Alabama,1997-09-01,4.9
Alabama,1997-10-01,4.6
Alabama,1997-11-01,4.3
Alabama,1997-12-01,4.2
Alabama,1998-01-01,4.9
Alabama,1998-02-01,4.7
Alabama,1998-03-01,4.5
Alabama,1998-04-01,3.7
Alabama,1998-05-01,3.9
Alabama,1998-06-01,5
Alabama,1998-07-01,4.8
Alabama,1998-08-01,4.7
Alabama,1998-09-01,4.5
Alabama,1998-10-01,4.5
Alabama,1998-11-01,4.3
Alabama,1998-12-01,4.1
Alabama,1999-01-01,4.9
Alabama,1999-02-01,5
Alabama,1999-03-01,4.5
Alabama,1999-04-01,4.3
Alabama,1999-05-01,4.3
Alabama,1999-06-01,5.2
Alabama,1999-07-01,5.1
Alabama,1999-08-01,5
Alabama,1999-09-01,4.8
Alabama,1999-10-01,4.6
Alabama,1999-11-01,4.5
Alabama,1999-12-01,4.4
Alabama,2000-01-01,5.1
Alabama,2000-02-01,5
Alabama,2000-03-01,4.6
Alabama,2000-04-01,4
Alabama,2000-05-01,4.2
Alabama,2000-06-01,4.9
Alabama,2000-07-01,4.9
Alabama,2000-08-01,5
Alabama,2000-09-01,4.5
Alabama,2000-10-01,4.5
Alabama,2000-11-01,4.4
Alabama,2000-12-01,4.3
Alabama,2001-01-01,5.3
